Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
ERR3585838_1	ERR3585838_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	210762.0	62.8 Mbp	0.0	35-301	50.0	4.132623527960448	296.68894772302406	294	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
ERR3585838_2	ERR3585838_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	210762.0	63.1 Mbp	0.0	35-301	49.0	6.147218189237149	300.51608923809795	301	pass	fail	warn	pass	fail	fail	pass	warn	fail	fail	pass
ERR3585839_1	ERR3585839_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	65088.0	19.3 Mbp	0.0	35-301	53.0	8.459316617502457	297.5287610619469	301	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
ERR3585839_2	ERR3585839_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	65088.0	19.3 Mbp	0.0	35-301	53.0	10.908308751229105	298.16889441986234	301	pass	fail	warn	pass	fail	fail	pass	warn	fail	fail	pass
ERR3585840_1	ERR3585840_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	318631.0	95.4 Mbp	0.0	35-301	52.0	4.3018413148752	299.371523800258	301	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
ERR3585840_2	ERR3585840_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	318631.0	95.2 Mbp	0.0	35-301	51.0	5.778784863996284	299.6717268564578	301	pass	fail	warn	pass	fail	fail	pass	warn	fail	fail	pass
ERR3585841_1	ERR3585841_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	67900.0	20.2 Mbp	0.0	35-301	49.0	5.500736377025037	296.399381443299	294	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
ERR3585841_2	ERR3585841_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	67900.0	20.3 Mbp	0.0	35-301	49.0	7.902798232695139	300.69664212076583	301	pass	fail	warn	pass	fail	fail	pass	warn	fail	fail	pass
ERR3585842_1	ERR3585842_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	139099.0	41.7 Mbp	0.0	35-301	52.0	5.035262654656036	299.8749092373058	301	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
ERR3585842_2	ERR3585842_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	139099.0	41.6 Mbp	0.0	35-301	51.0	6.796598106384661	300.0083753298011	301	pass	fail	warn	pass	fail	fail	pass	warn	fail	fail	pass
ERR3585843_1	ERR3585843_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	307803.0	92.3 Mbp	0.0	35-301	51.0	3.2026978294558535	299.3924913012544	301	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
ERR3585843_2	ERR3585843_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	307803.0	92.4 Mbp	0.0	35-301	51.0	4.841083420239569	300.71114966390843	301	pass	fail	warn	pass	fail	fail	pass	warn	fail	fail	pass
ERR3585844_1	ERR3585844_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	122981.0	36.6 Mbp	0.0	35-301	50.0	4.466543612427936	296.43129426496773	294	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
ERR3585844_2	ERR3585844_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	122981.0	36.8 Mbp	0.0	35-301	49.0	6.096876753319618	300.54702758962765	301	pass	fail	warn	pass	fail	fail	pass	warn	fail	fail	pass
ERR3585845_1	ERR3585845_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	215859.0	64.8 Mbp	0.0	35-301	51.0	4.063300580471512	300.3131534937158	301	pass	warn	warn	pass	fail	fail	pass	warn	fail	fail	pass
ERR3585845_2	ERR3585845_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	215859.0	64.6 Mbp	0.0	35-301	51.0	6.012258001751143	300.409962058566	301	pass	fail	warn	pass	fail	fail	pass	warn	fail	fail	pass
ERR3585846_1	ERR3585846_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	23901.0	5.3 Mbp	0.0	63-301	50.0	8.514288105100205	223.16530689092505	227	pass	fail	warn	pass	fail	warn	pass	warn	fail	fail	pass
ERR3585846_2	ERR3585846_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	23901.0	5.7 Mbp	0.0	63-301	52.0	7.869963599849379	239.66863311158528	297	pass	fail	warn	pass	fail	fail	pass	warn	fail	fail	pass
ERR3585847_1	ERR3585847_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3942.0	765.4 kbp	0.0	35-301	44.0	21.689497716894977	193.84779299847793	274	pass	fail	warn	pass	fail	fail	fail	warn	fail	fail	pass
ERR3585847_2	ERR3585847_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3942.0	783.7 kbp	0.0	35-301	45.0	26.61085743277524	198.64561136478946	284	pass	fail	warn	fail	fail	fail	fail	warn	fail	fail	pass
ERR3585848_1	ERR3585848_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4634.0	945.9 kbp	0.0	35-301	45.0	15.688390159689252	203.63530427276652	301	pass	fail	warn	fail	fail	fail	fail	warn	fail	fail	pass
ERR3585848_2	ERR3585848_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4634.0	998.2 kbp	0.0	35-301	45.0	30.470435908502374	215.1230038843332	301	pass	fail	warn	fail	fail	fail	fail	warn	fail	fail	warn
ERR3585849_1	ERR3585849_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2197.0	265.1 kbp	0.0	35-301	48.0	12.699135184342285	119.88666363222576	34	pass	fail	fail	fail	fail	fail	fail	warn	fail	fail	pass
ERR3585849_2	ERR3585849_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2197.0	273.4 kbp	0.0	35-301	48.0	16.0218479745107	124.02002730996814	34	pass	fail	fail	fail	fail	fail	fail	warn	fail	fail	pass
ERR3585850_1	ERR3585850_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5722.0	1.2 Mbp	0.0	35-301	48.0	26.441803565187	221.03372946522194	301	pass	warn	warn	pass	fail	fail	fail	warn	fail	fail	pass
ERR3585850_2	ERR3585850_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5722.0	1.2 Mbp	0.0	35-301	49.0	36.350926249563095	220.5512058720727	301	pass	fail	warn	fail	fail	fail	fail	warn	fail	fail	pass
ERR3585851_1	ERR3585851_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1623.0	307.6 kbp	0.0	35-301	49.0	21.565003080714725	189.0536044362292	294	pass	fail	fail	fail	fail	fail	fail	warn	fail	fail	pass
ERR3585851_2	ERR3585851_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1623.0	310.7 kbp	0.0	35-301	49.0	26.555760936537276	191.00800985828712	294	pass	fail	fail	fail	fail	fail	fail	warn	fail	fail	pass
ERR3585852_1	ERR3585852_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5487.0	1.2 Mbp	0.0	35-301	47.0	31.091671222890465	221.99908875523965	301	pass	warn	warn	pass	fail	fail	fail	warn	fail	fail	pass
ERR3585852_2	ERR3585852_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5487.0	1.2 Mbp	0.0	35-301	48.0	37.81665755421906	224.47913249498816	301	pass	fail	warn	fail	fail	fail	fail	warn	fail	fail	pass
ERR3585853_1	ERR3585853_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5666.0	615.4 kbp	0.0	35-301	48.0	7.977409106953759	107.73208612777974	34	pass	fail		fail	fail	fail	fail	warn	fail	fail	pass
ERR3585853_2	ERR3585853_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5666.0	612.4 kbp	0.0	35-301	49.0	9.795270031768444	107.49682315566537	34	pass	fail		fail	fail	fail	fail	warn	fail	fail	pass
ERR3585854_1	ERR3585854_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	29800.0	7.4 Mbp	0.0	35-301	41.0	12.06711409395973	250.82171140939596	264	pass	warn	warn	pass	fail	fail	warn	warn	fail	fail	pass
ERR3585854_2	ERR3585854_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	29800.0	7.5 Mbp	0.0	35-301	42.0	19.348993288590606	254.26661073825503	294	pass	fail	warn	pass	fail	fail	warn	warn	fail	fail	pass
ERR3585855_1	ERR3585855_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2713.0	441.4 kbp	0.0	35-301	43.0	15.40729819388131	162.2495392554368	114	pass	fail	warn	fail	fail	fail	fail	warn	fail	fail	pass
ERR3585855_2	ERR3585855_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2713.0	464.6 kbp	0.0	35-301	43.0	20.346479911537045	170.9115370438629	234	pass	fail	warn	fail	fail	fail	fail	warn	fail	fail	pass
ERR3585856_1	ERR3585856_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	11771.0	1.3 Mbp	0.0	35-301	47.0	9.73579135162688	116.2535893297086	34	pass	fail	fail	fail	fail	fail	fail	warn	fail	fail	pass
ERR3585856_2	ERR3585856_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	11771.0	1.3 Mbp	0.0	35-301	47.0	13.439809701809532	116.8661116302778	34	pass	fail	warn	fail	fail	fail	fail	warn	fail	fail	pass
ERR3585857_1	ERR3585857_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	299950.0	90.1 Mbp	0.0	35-301	50.0	3.758293048841473	300.9221503583931	301	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
ERR3585857_2	ERR3585857_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	299950.0	90.1 Mbp	0.0	35-301	49.0	7.393232205367561	300.8979229871645	301	pass	fail	pass	pass	fail	fail	pass	warn	fail	fail	pass
ERR3585858_1	ERR3585858_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	118061.0	35.4 Mbp	0.0	49-301	49.0	4.577294788287411	300.9656618188902	301	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
ERR3585858_2	ERR3585858_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	118061.0	35.4 Mbp	0.0	44-301	48.0	7.662140757743878	300.9062095018677	301	pass	fail	pass	pass	fail	fail	pass	warn	fail	fail	pass
ERR3585859_1	ERR3585859_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	85892.0	25.8 Mbp	0.0	221-301	50.0	4.556885390956085	299.9936664648628	300	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
ERR3585859_2	ERR3585859_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	85892.0	25.8 Mbp	0.0	35-301	49.0	7.03557956503516	300.95724863782425	301	pass	fail	pass	pass	fail	fail	pass	warn	fail	fail	pass
ERR3585860_1	ERR3585860_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	322615.0	96.9 Mbp	0.0	51-301	49.0	3.8522697332734066	300.9796816639028	301	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
ERR3585860_2	ERR3585860_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	322615.0	96.9 Mbp	0.0	51-301	49.0	7.219751096508221	300.93596391984255	301	pass	fail	pass	pass	fail	fail	pass	warn	fail	fail	pass
ERR6094254_1	ERR6094254_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	111507.0	33.4 Mbp	0.0	300.0	48.0	4.01768498838638	300.0	300	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
ERR6094254_2	ERR6094254_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	111507.0	33.4 Mbp	0.0	300.0	48.0	6.950236308034473	300.0	300	pass	fail	warn	pass	fail	fail	pass	pass	fail	fail	pass
ERR6094255_1	ERR6094255_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	102832.0	30.8 Mbp	0.0	300.0	48.0	4.434417302007157	300.0	300	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
ERR6094255_2	ERR6094255_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	102832.0	30.8 Mbp	0.0	300.0	48.0	7.742725999688813	300.0	300	pass	fail	pass	pass	fail	fail	pass	pass	fail	fail	pass
ERR6094256_1	ERR6094256_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	98053.0	29.4 Mbp	0.0	300.0	48.0	4.473091083393675	300.0	300	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
ERR6094256_2	ERR6094256_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	98053.0	29.4 Mbp	0.0	300.0	48.0	8.149674155813692	300.0	300	pass	fail	warn	pass	fail	fail	pass	pass	fail	fail	pass
ERR6094257_1	ERR6094257_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	63510.0	19 Mbp	0.0	300.0	48.0	7.581483230987246	300.0	300	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
ERR6094257_2	ERR6094257_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	63510.0	19 Mbp	0.0	300.0	48.0	14.863800976224217	300.0	300	pass	fail	pass	pass	fail	fail	pass	pass	fail	fail	pass
ERR6094258_1	ERR6094258_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	100899.0	30.2 Mbp	0.0	300.0	48.0	5.319180566705319	300.0	300	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
ERR6094258_2	ERR6094258_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	100899.0	30.2 Mbp	0.0	300.0	48.0	8.510490688708511	300.0	300	pass	fail	pass	pass	fail	fail	pass	pass	fail	fail	pass
ERR6094259_1	ERR6094259_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	98464.0	29.5 Mbp	0.0	300.0	48.0	4.855581735456614	300.0	300	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
ERR6094259_2	ERR6094259_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	98464.0	29.5 Mbp	0.0	300.0	48.0	9.229769255768607	300.0	300	pass	fail	warn	pass	fail	fail	pass	pass	fail	fail	pass
ERR6094260_1	ERR6094260_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	91759.0	27.5 Mbp	0.0	300.0	48.0	5.031659019823668	300.0	300	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
ERR6094260_2	ERR6094260_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	91759.0	27.5 Mbp	0.0	300.0	48.0	8.792598001285977	300.0	300	pass	fail	pass	pass	fail	fail	pass	pass	fail	fail	pass
ERR6094261_1	ERR6094261_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	99732.0	29.9 Mbp	0.0	300.0	48.0	4.6083503790157625	300.0	300	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
ERR6094261_2	ERR6094261_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	99732.0	29.9 Mbp	0.0	300.0	48.0	8.527854650463242	300.0	300	pass	fail	pass	pass	fail	fail	pass	pass	fail	fail	pass
ERR6094262_1	ERR6094262_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	115717.0	34.7 Mbp	0.0	300.0	48.0	5.321603567323729	300.0	300	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
ERR6094262_2	ERR6094262_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	115717.0	34.7 Mbp	0.0	300.0	48.0	7.819075848838114	300.0	300	pass	fail	pass	pass	fail	fail	pass	pass	fail	fail	pass
ERR6094263_1	ERR6094263_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	112904.0	33.8 Mbp	0.0	300.0	50.0	5.217707078580033	300.0	300	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
ERR6094263_2	ERR6094263_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	112904.0	33.8 Mbp	0.0	300.0	50.0	9.190994118897471	300.0	300	pass	fail	pass	pass	fail	fail	pass	pass	fail	fail	pass
